日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-11-22,81.56,81.084,81.56,80.98,4903,49775060.0,0.71,-0.73,-0.593,1.61
2018-11-23,81.07,81.06,81.078,80.99,8642,87708207.0,0.11,-0.03,-0.024,2.84
2018-11-26,80.86,81.054,81.14,80.86,1282,13017926.0,0.35,-0.01,-0.006,0.42
2018-11-27,81.08,80.96,81.08,80.96,1095,11110196.0,0.15,-0.12,-0.094,0.36
2018-11-28,81.06,81.07,81.07,81.04,5381,54621145.0,0.04,0.14,0.11,1.77
2018-11-29,81.13,81.135,81.135,81.09,3703,37599046.0,0.06,0.08,0.065,1.22
2018-11-30,81.23,81.25,81.25,81.21,440,4469858.0,0.05,0.14,0.115,0.14
2018-12-03,81.135,81.165,81.168,81.135,543,5517915.0,0.04,-0.1,-0.085,0.18
2018-12-04,81.36,81.511,81.519,81.36,1714,17472776.0,0.2,0.43,0.346,0.56
2018-12-05,81.56,81.59,81.66,81.56,1785,18213801.0,0.12,0.1,0.079,0.59
2018-12-06,81.613,81.609,81.613,81.606,1958,19978170.0,0.01,0.02,0.019,0.64
2018-12-07,81.66,81.606,81.66,81.562,2050,20922292.0,0.12,0.0,-0.003,0.67
2018-12-10,81.6,81.65,81.655,81.6,493,5033878.0,0.07,0.05,0.044,0.16
2018-12-11,81.641,81.649,81.65,81.633,1888,19272099.0,0.02,0.0,-0.001,0.62
2018-12-12,81.698,81.679,81.698,81.675,13109,133862865.0,0.03,0.04,0.03,4.31
2018-12-13,81.683,81.45,81.692,81.365,22090,225464170.0,0.4,-0.28,-0.229,7.26
2018-12-14,81.45,81.448,81.465,81.448,24290,247506299.0,0.02,0.0,-0.002,7.99
2018-12-17,81.43,81.43,81.46,81.43,8582,87446574.0,0.04,-0.02,-0.018,2.82
2018-12-18,81.32,81.412,81.46,81.31,7026,71566766.0,0.18,-0.02,-0.018,2.31
2018-12-19,81.46,81.467,81.49,81.459,2878,29331897.0,0.04,0.07,0.055,0.95
2018-12-20,81.56,81.622,81.655,81.56,2337,23857113.0,0.12,0.19,0.155,0.77
2018-12-21,81.64,81.658,81.661,81.64,3301,33703278.0,0.03,0.04,0.036,1.09
2018-12-24,81.65,81.608,81.65,81.608,1492,15229286.0,0.05,-0.06,-0.05,0.49
2018-12-25,81.657,81.656,81.657,81.651,3675,37516695.0,0.01,0.06,0.048,1.21
2018-12-26,81.65,81.657,81.71,81.646,14135,144310449.0,0.08,0.0,0.001,4.65
2018-12-27,81.654,81.67,81.671,81.654,15765,160961678.0,0.02,0.02,0.013,5.18
2018-12-28,81.77,81.96,82.06,81.77,1312,13434608.0,0.36,0.36,0.29,0.43
2019-01-02,82.16,82.471,82.51,82.16,1728,17776132.0,0.43,0.62,0.511,0.57
2019-01-03,82.46,82.481,82.58,82.46,2318,23862391.0,0.15,0.01,0.01,0.76
2019-01-04,82.759,82.56,82.76,82.56,5821,60042865.0,0.24,0.1,0.079,1.91
2019-01-07,82.56,82.46,82.61,82.07,1586,16320440.0,0.65,-0.12,-0.1,0.52
2019-01-08,82.56,82.77,82.77,82.56,10223,105444827.0,0.25,0.38,0.31,3.36
2019-01-09,83.056,82.829,83.056,82.7,3084,31836745.0,0.43,0.07,0.059,1.01
2019-01-10,83.06,83.1,83.16,83.06,2491,25791745.0,0.12,0.33,0.271,0.82
2019-01-11,83.16,83.113,83.21,83.061,5454,56481579.0,0.18,0.02,0.013,1.79
2019-01-14,83.26,83.239,83.26,83.172,3891,40345798.0,0.11,0.15,0.126,1.28
2019-01-15,83.21,83.185,83.211,83.176,644,6668686.0,0.04,-0.06,-0.054,0.21
2019-01-16,83.26,83.537,83.659,83.257,5458,56722253.0,0.48,0.42,0.352,1.79
2019-01-17,83.71,83.76,83.77,83.612,4100,42722148.0,0.19,0.27,0.223,1.35
2019-01-18,83.755,83.695,83.76,83.63,1561,16256738.0,0.16,-0.08,-0.065,0.51
2019-01-21,83.61,83.47,83.61,83.45,1783,18529571.0,0.19,-0.27,-0.225,0.59
