日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-15,1.025,1.03,1.041,1.025,1242597,128354289.637,1.56,0.49,0.005,100.29
2025-09-16,1.03,1.039,1.045,1.025,532093,55079771.804,1.94,0.87,0.009,42.94
2025-09-17,1.037,1.058,1.061,1.037,333692,35068128.642,2.31,1.83,0.019,26.93
2025-09-18,1.05,1.041,1.068,1.037,312703,32977023.557,2.93,-1.61,-0.017,25.24
2025-09-19,1.04,1.037,1.047,1.033,191806,19968528.009,1.34,-0.38,-0.004,15.48
2025-09-22,1.037,1.043,1.043,1.03,133287,13817853.828,1.25,0.58,0.006,10.76
2025-09-23,1.044,1.034,1.048,1.02,178561,18376607.673,2.68,-0.86,-0.009,14.41
2025-09-24,1.028,1.054,1.055,1.026,230779,24115825.337,2.8,1.93,0.02,18.63
2025-09-25,1.053,1.065,1.073,1.051,184830,19675560.337,2.09,1.04,0.011,14.92
2025-09-26,1.065,1.042,1.065,1.042,81338,8563325.156,2.16,-2.16,-0.023,6.56
2025-09-29,1.043,1.054,1.06,1.043,95861,10084699.222,1.63,1.15,0.012,7.74
2025-09-30,1.053,1.061,1.067,1.053,95349,10109167.464,1.33,0.66,0.007,7.7
2025-10-09,1.061,1.066,1.08,1.058,120366,12887080.121,2.07,0.47,0.005,9.71
2025-10-10,1.067,1.039,1.067,1.038,103293,10787841.785,2.72,-2.53,-0.027,8.34
2025-10-13,1.016,1.026,1.035,0.995,59802,6082964.906,3.85,-1.25,-0.013,4.83
2025-10-14,1.025,1.006,1.039,1.006,160944,16328350.658,3.22,-1.95,-0.02,12.99
2025-10-15,1.005,1.015,1.016,0.992,66534,6671386.057,2.39,0.89,0.009,5.37
2025-10-16,1.006,1.011,1.02,1.006,45265,4577036.055,1.38,-0.39,-0.004,3.65
2025-10-17,1.01,0.989,1.013,0.988,102542,10185511.66,2.47,-2.18,-0.022,8.28
2025-10-20,0.989,0.996,1.009,0.989,37527,3746307.572,2.02,0.71,0.007,3.03
2025-10-21,1.006,1.016,1.021,0.997,120356,12201695.956,2.41,2.01,0.02,9.71
2025-10-22,1.017,1.012,1.02,1.001,56498,5718884.456,1.87,-0.39,-0.004,4.56
2025-10-23,1.005,1.012,1.017,0.996,45175,4530327.151,2.08,0.0,0.0,3.65
2025-10-24,1.012,1.035,1.037,1.012,139378,14339105.585,2.47,2.27,0.023,11.25
2025-10-27,1.045,1.051,1.056,1.039,161086,16918595.145,1.64,1.55,0.016,13.0
2025-10-28,1.053,1.053,1.064,1.036,98575,10407805.485,2.66,0.19,0.002,7.96
2025-10-29,1.053,1.069,1.071,1.053,175023,18628186.591,1.71,1.52,0.016,14.13
2025-10-30,1.069,1.054,1.07,1.054,50931,5409675.875,1.5,-1.4,-0.015,4.11
2025-10-31,1.048,1.047,1.065,1.047,39001,4105016.864,1.71,-0.66,-0.007,3.15
2025-11-03,1.061,1.052,1.061,1.031,44051,4586166.212,2.87,0.48,0.005,3.56
2025-11-04,1.046,1.041,1.053,0.988,33596,3479611.738,6.18,-1.05,-0.011,2.71
