日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-13,0.998,1.004,1.006,0.988,806286,80304460.542,1.81,1.11,0.011,26.53
2025-11-14,0.995,0.981,0.999,0.981,563092,55745662.56,1.79,-2.29,-0.023,18.53
2025-11-17,0.977,0.971,0.993,0.971,453654,44486025.541,2.24,-1.02,-0.01,14.93
2025-11-18,0.972,0.96,0.978,0.957,390815,37816310.955,2.16,-1.13,-0.011,12.86
2025-11-19,0.962,0.949,0.968,0.945,270083,25748834.431,2.4,-1.15,-0.011,8.89
2025-11-20,0.96,0.937,0.968,0.935,415000,39325538.175,3.48,-1.26,-0.012,13.65
2025-11-21,0.923,0.916,0.925,0.905,411446,37685063.818,2.13,-2.24,-0.021,13.54
2025-11-24,0.922,0.912,0.925,0.892,907879,82382931.375,3.6,-0.44,-0.004,29.87
2025-11-25,0.927,0.922,0.947,0.921,1454768,135923059.747,2.85,1.1,0.01,47.87
2025-11-26,0.928,0.93,0.938,0.925,895799,83481715.46,1.41,0.87,0.008,29.47
2025-11-27,0.933,0.926,0.951,0.926,1156108,108664605.233,2.69,-0.43,-0.004,38.04
2025-11-28,0.932,0.93,0.935,0.923,536554,49916143.793,1.3,0.43,0.004,17.65
2025-12-01,0.93,0.934,0.937,0.924,832397,77606367.821,1.4,0.43,0.004,27.39
2025-12-02,0.936,0.928,0.937,0.925,451403,42011951.7,1.28,-0.64,-0.006,14.85
2025-12-03,0.929,0.911,0.93,0.911,460868,42293231.362,2.05,-1.83,-0.017,15.16
2025-12-04,0.915,0.933,0.935,0.912,976143,90503349.758,2.52,2.41,0.022,32.12
2025-12-05,0.934,0.943,0.946,0.924,823331,77256267.992,2.36,1.07,0.01,27.09
2025-12-08,0.944,0.952,0.961,0.944,1057254,100780998.089,1.8,0.95,0.009,34.79
2025-12-09,0.95,0.932,0.95,0.93,434577,40820374.369,2.1,-2.1,-0.02,14.3
2025-12-10,0.933,0.933,0.937,0.92,567324,52531500.86,1.82,0.11,0.001,18.67
2025-12-11,0.938,0.917,0.94,0.915,550309,50894050.35,2.68,-1.71,-0.016,18.11
2025-12-12,0.923,0.936,0.936,0.91,889130,82283601.393,2.84,2.07,0.019,29.26
2025-12-15,0.928,0.908,0.928,0.907,619796,56599487.023,2.24,-2.99,-0.028,20.39
2025-12-16,0.905,0.884,0.906,0.879,716731,63613989.142,2.97,-2.64,-0.024,23.58
2025-12-17,0.886,0.895,0.9,0.884,713691,63594109.371,1.81,1.24,0.011,23.48
2025-12-18,0.889,0.878,0.889,0.878,450142,39759082.606,1.23,-1.9,-0.017,14.81
2025-12-19,0.888,0.887,0.896,0.884,776339,69085031.6,1.37,1.03,0.009,25.54
2025-12-22,0.895,0.901,0.908,0.893,697182,62897551.61,1.69,1.58,0.014,22.94
2025-12-23,0.905,0.896,0.907,0.895,507478,45730702.996,1.33,-0.55,-0.005,16.7
2025-12-24,0.9,0.903,0.913,0.9,726741,65933021.366,1.45,0.78,0.007,23.91
