日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-13,0.984,1.002,1.009,0.984,938349,93257007.821,2.52,0.8,0.008,55.19
2025-11-14,0.988,0.981,0.998,0.979,173577,17094299.506,1.9,-2.1,-0.021,10.21
2025-11-17,0.972,0.968,0.985,0.966,216729,21128703.126,1.94,-1.33,-0.013,12.75
2025-11-18,0.968,0.956,0.976,0.953,192860,18593677.151,2.38,-1.24,-0.012,11.34
2025-11-19,0.956,0.948,0.969,0.946,164991,15746800.741,2.41,-0.84,-0.008,9.7
2025-11-20,0.957,0.938,0.96,0.936,199393,18857459.061,2.53,-1.05,-0.01,11.73
2025-11-21,0.928,0.921,0.93,0.91,148844,13686619.165,2.13,-1.81,-0.017,8.75
2025-11-24,0.925,0.94,0.948,0.917,529168,49554799.51,3.37,2.06,0.019,31.12
2025-11-25,0.956,0.947,0.966,0.946,210347,20164002.531,2.13,0.74,0.007,12.37
2025-11-26,0.954,0.955,0.962,0.951,67024,6415672.348,1.16,0.84,0.008,3.94
2025-11-27,0.955,0.945,0.961,0.944,89178,8503672.5,1.78,-1.05,-0.01,5.25
2025-11-28,0.948,0.949,0.952,0.943,70866,6714919.46,0.95,0.42,0.004,4.17
2025-12-01,0.945,0.953,0.957,0.943,68877,6548897.256,1.48,0.42,0.004,4.05
2025-12-02,0.958,0.947,0.961,0.943,301420,28596029.391,1.89,-0.63,-0.006,17.73
2025-12-03,0.947,0.933,0.947,0.928,293791,27392955.599,2.01,-1.48,-0.014,17.28
2025-12-04,0.934,0.947,0.949,0.931,119228,11227676.662,1.93,1.5,0.014,7.01
2025-12-05,0.947,0.957,0.957,0.939,140845,13390121.431,1.9,1.06,0.01,8.28
2025-12-08,0.962,0.955,0.962,0.953,102044,9775883.728,0.94,-0.21,-0.002,6.0
2025-12-09,0.959,0.942,0.96,0.939,83748,7925450.457,2.2,-1.36,-0.013,4.93
2025-12-10,0.94,0.947,0.949,0.934,94984,8940897.9,1.59,0.53,0.005,5.59
2025-12-11,0.956,0.938,0.956,0.937,118486,11199826.087,2.01,-0.95,-0.009,6.97
2025-12-12,0.943,0.953,0.955,0.936,136639,12949984.302,2.03,1.6,0.015,8.04
2025-12-15,0.945,0.931,0.945,0.93,104162,9746295.666,1.57,-2.31,-0.022,6.13
2025-12-16,0.932,0.91,0.932,0.904,142919,13022409.772,3.01,-2.26,-0.021,8.41
2025-12-17,0.913,0.918,0.923,0.909,120573,11037972.2,1.54,0.88,0.008,7.09
2025-12-18,0.912,0.907,0.914,0.904,100599,9139348.013,1.09,-1.2,-0.011,5.92
2025-12-19,0.916,0.921,0.925,0.915,94937,8732420.865,1.1,1.54,0.014,5.58
2025-12-22,0.93,0.926,0.935,0.925,122842,11428663.448,1.09,0.54,0.005,7.22
2025-12-23,0.929,0.919,0.929,0.918,96104,8869710.926,1.19,-0.76,-0.007,5.65
2025-12-24,0.92,0.92,0.928,0.913,72851,6717951.024,1.63,0.11,0.001,4.28
